Date,Not indexed,Indexed,Impressions
2026-07-21,,,207
2026-07-22,,,189
2026-07-23,55,24,188
2026-07-24,137,121,174
2026-07-25,137,121,208
2026-07-26,137,121,256
2026-07-27,137,121,282
2026-07-28,137,121,332
2026-07-29,137,121,302
2026-07-30,137,121,326
2026-07-31,137,121,294
2026-08-01,137,121,333
2026-08-02,137,121,440
2026-08-03,137,121,567
2026-08-04,137,121,516
2026-08-05,137,122,438
2026-08-06,137,122,332
