Reason,Source,Validation,Pages
Alternate page with proper canonical tag,Website,Not Started,13
Excluded by ‘noindex’ tag,Website,Not Started,8
Page with redirect,Website,Not Started,8
Not found (404),Website,Not Started,5
Crawled - currently not indexed,Google systems,Not Started,19
Discovered - currently not indexed,Google systems,Not Started,2
