id,source_url,local_path,filename,alt,role,content_type,used_on_source_pages,status
image-086,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/18791294-5b9b-4241-83be-1023b2437285.png.418x418.webp,/assets/source/18791294-5b9b-4241-83be-1023b2437285-5bd8d560.418x418.webp,18791294-5b9b-4241-83be-1023b2437285-5bd8d560.418x418.webp,,source,image/webp,https://www.woodscrossingslc.com/pet-friendly,downloaded
image-087,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/Award_2026-03-17-12-41-13.jpg.1280x720.jpg,/assets/source/woods-crossing-apartments-neighborhood-94cb740f.jpg,woods-crossing-apartments-neighborhood-94cb740f.jpg,Woods Crossing Apartments Neighborhood,img,image/jpeg,https://www.woodscrossingslc.com/ | https://www.woodscrossingslc.com/frequently-asked-questions | https://www.woodscrossingslc.com/virtual-tours,downloaded
image-088,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/Award_2026-03-17-12-41-13.jpg.1280x720.webp,/assets/source/award-2026-03-17-12-41-13-ca9043f9.1280x720.webp,award-2026-03-17-12-41-13-ca9043f9.1280x720.webp,,source,image/webp,https://www.woodscrossingslc.com/ | https://www.woodscrossingslc.com/frequently-asked-questions | https://www.woodscrossingslc.com/virtual-tours,downloaded
image-089,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/Award_2026-03-17-12-41-13.jpg.640x360.jpg,/assets/source/award-2026-03-17-12-41-13-871fe0d9.jpg,award-2026-03-17-12-41-13-871fe0d9.jpg,,source,image/jpeg,https://www.woodscrossingslc.com/ | https://www.woodscrossingslc.com/frequently-asked-questions | https://www.woodscrossingslc.com/virtual-tours,downloaded
image-090,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/Award_2026-03-17-12-41-13.jpg.640x360.webp,/assets/source/award-2026-03-17-12-41-13-1b3e8a2e.640x360.webp,award-2026-03-17-12-41-13-1b3e8a2e.640x360.webp,,source,image/webp,https://www.woodscrossingslc.com/ | https://www.woodscrossingslc.com/frequently-asked-questions | https://www.woodscrossingslc.com/virtual-tours,downloaded
image-091,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/aef63ad1-b4b3-43a1-8ffb-fc982b8d1f60.jpg.640x360.jpg,/assets/source/aef63ad1-b4b3-43a1-8ffb-fc982b8d1f60-ce4597b6.jpg,aef63ad1-b4b3-43a1-8ffb-fc982b8d1f60-ce4597b6.jpg,,source,image/jpeg,https://www.woodscrossingslc.com/amenities | https://www.woodscrossingslc.com/north-salt-lake-ut/amenities,downloaded
image-092,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/aef63ad1-b4b3-43a1-8ffb-fc982b8d1f60.jpg.640x360.webp,/assets/source/aef63ad1-b4b3-43a1-8ffb-fc982b8d1f60-2ce43b2c.640x360.webp,aef63ad1-b4b3-43a1-8ffb-fc982b8d1f60-2ce43b2c.640x360.webp,,source,image/webp,https://www.woodscrossingslc.com/amenities | https://www.woodscrossingslc.com/north-salt-lake-ut/amenities,downloaded
image-093,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/aef63ad1-b4b3-43a1-8ffb-fc982b8d1f60.jpg.800x600.jpg,/assets/source/woods-crossing-apartments-e2b67140.jpg,woods-crossing-apartments-e2b67140.jpg,Woods Crossing Apartments,img,image/jpeg,https://www.woodscrossingslc.com/amenities | https://www.woodscrossingslc.com/north-salt-lake-ut/amenities,downloaded
image-094,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/aef63ad1-b4b3-43a1-8ffb-fc982b8d1f60.jpg.800x600.webp,/assets/source/aef63ad1-b4b3-43a1-8ffb-fc982b8d1f60-8b8f0ca4.800x600.webp,aef63ad1-b4b3-43a1-8ffb-fc982b8d1f60-8b8f0ca4.800x600.webp,,source,image/webp,https://www.woodscrossingslc.com/amenities | https://www.woodscrossingslc.com/north-salt-lake-ut/amenities,downloaded
image-095,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/afa157dc-3b8e-4916-8275-2fbc8d131c23.jpg.640x360.jpg,/assets/source/afa157dc-3b8e-4916-8275-2fbc8d131c23-ba6f7640.jpg,afa157dc-3b8e-4916-8275-2fbc8d131c23-ba6f7640.jpg,,source,image/jpeg,https://www.woodscrossingslc.com/amenities | https://www.woodscrossingslc.com/north-salt-lake-ut/amenities,downloaded
image-096,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/afa157dc-3b8e-4916-8275-2fbc8d131c23.jpg.640x360.webp,/assets/source/afa157dc-3b8e-4916-8275-2fbc8d131c23-9864cea6.640x360.webp,afa157dc-3b8e-4916-8275-2fbc8d131c23-9864cea6.640x360.webp,,source,image/webp,https://www.woodscrossingslc.com/amenities | https://www.woodscrossingslc.com/north-salt-lake-ut/amenities,downloaded
image-097,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/afa157dc-3b8e-4916-8275-2fbc8d131c23.jpg.800x600.jpg,/assets/source/woods-crossing-apartments-in-north-salt-lake-b48646cb.jpg,woods-crossing-apartments-in-north-salt-lake-b48646cb.jpg,Woods Crossing Apartments in North Salt Lake,img,image/jpeg,https://www.woodscrossingslc.com/amenities | https://www.woodscrossingslc.com/north-salt-lake-ut/amenities,downloaded
image-098,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/afa157dc-3b8e-4916-8275-2fbc8d131c23.jpg.800x600.webp,/assets/source/afa157dc-3b8e-4916-8275-2fbc8d131c23-310f4948.800x600.webp,afa157dc-3b8e-4916-8275-2fbc8d131c23-310f4948.800x600.webp,,source,image/webp,https://www.woodscrossingslc.com/amenities | https://www.woodscrossingslc.com/north-salt-lake-ut/amenities,downloaded
image-099,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/cat_2025-10-30-15-20-52.jpg.370x370.jpg,/assets/source/cat-and-owner-626458d6.jpg,cat-and-owner-626458d6.jpg,Cat and Owner,img,image/jpeg,https://www.woodscrossingslc.com/pet-friendly,downloaded
image-100,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/cat_2025-10-30-15-20-52.jpg.370x370.webp,/assets/source/cat-2025-10-30-15-20-52-0061c9c9.370x370.webp,cat-2025-10-30-15-20-52-0061c9c9.370x370.webp,,source,image/webp,https://www.woodscrossingslc.com/pet-friendly,downloaded
image-101,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/d81c93c6-c036-4023-9fea-6ffd345e86ac.jpg.1920x1080.jpg,/assets/source/woods-crossing-apartments-amenities-24907f73.jpg,woods-crossing-apartments-amenities-24907f73.jpg,Woods Crossing Apartments Amenities,img,image/jpeg,https://www.woodscrossingslc.com/ | https://www.woodscrossingslc.com/amenities | https://www.woodscrossingslc.com/frequently-asked-questions | https://www.woodscrossingslc.com/north-salt-lake-ut/amenities | https://www.woodscrossingslc.com/virtual-tours,downloaded
image-102,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/d81c93c6-c036-4023-9fea-6ffd345e86ac.jpg.1920x1080.webp,/assets/source/d81c93c6-c036-4023-9fea-6ffd345e86ac-2d99f4bf.1920x1080.webp,d81c93c6-c036-4023-9fea-6ffd345e86ac-2d99f4bf.1920x1080.webp,,source,image/webp,https://www.woodscrossingslc.com/ | https://www.woodscrossingslc.com/amenities | https://www.woodscrossingslc.com/frequently-asked-questions | https://www.woodscrossingslc.com/north-salt-lake-ut/amenities | https://www.woodscrossingslc.com/virtual-tours,downloaded
image-103,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/d81c93c6-c036-4023-9fea-6ffd345e86ac.jpg.800x800.jpg,/assets/source/d81c93c6-c036-4023-9fea-6ffd345e86ac-36dd9cfb.jpg,d81c93c6-c036-4023-9fea-6ffd345e86ac-36dd9cfb.jpg,,source,image/jpeg,https://www.woodscrossingslc.com/ | https://www.woodscrossingslc.com/amenities | https://www.woodscrossingslc.com/frequently-asked-questions | https://www.woodscrossingslc.com/north-salt-lake-ut/amenities | https://www.woodscrossingslc.com/virtual-tours,downloaded
image-104,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/seo/d81c93c6-c036-4023-9fea-6ffd345e86ac.jpg.800x800.webp,/assets/source/d81c93c6-c036-4023-9fea-6ffd345e86ac-ed98475f.800x800.webp,d81c93c6-c036-4023-9fea-6ffd345e86ac-ed98475f.800x800.webp,,source,image/webp,https://www.woodscrossingslc.com/ | https://www.woodscrossingslc.com/amenities | https://www.woodscrossingslc.com/frequently-asked-questions | https://www.woodscrossingslc.com/north-salt-lake-ut/amenities | https://www.woodscrossingslc.com/virtual-tours,downloaded
