source_url,status,title,h1,canonical,meta_description,heading_count,image_count,text_file,notes
https://www.woodscrossingslc.com/apply-online,fetched,"Apartments in North Salt Lake, UT | Apply Online for Woods Crossing",Apply Now,https://www.woodscrossingslc.com/apply-online,Apply now to Woods Crossing. Our North Salt Lake apartments provide you with everything that you need to be successful in your daily routine.,7,9,content/source/text/apply-online.md,
https://www.woodscrossingslc.com/residents,fetched,"Apartments in North Salt Lake, UT | Resident Portal for Woods Crossing",Residents,https://www.woodscrossingslc.com/residents,"The resident portal for Woods Crossing in North Salt Lake, UT makes it easy for you to request maintenance service and pay your rent online.",5,13,content/source/text/residents.md,
https://www.woodscrossingslc.com/accessibility-statement,fetched,"North Salt Lake, UT Apartments | Accessibility Statement for Woods Crossing",Accessiblitity Statement,https://www.woodscrossingslc.com/accessibility-statement,"At Woods Crossing, we actively work to increase the accessibility of our website and adhere to many of the available standards and guidelines.",3,9,content/source/text/accessibility-statement.md,
https://www.woodscrossingslc.com/accessible-one-page,fetched,Accessibility Page for Woods Crossing,Welcome to Woods Crossing,,"Apartments located in North Salt Lake, UT. This page is in conformance with WCAG 2.1 Level A and AA.",131,50,content/source/text/accessible-one-page.md,
https://www.woodscrossingslc.com/amenities,fetched,"Apartments for Rent in North Salt Lake, UT | Amenities at Woods Crossing",Amenities,https://www.woodscrossingslc.com/north-salt-lake-ut/amenities,"Our North Salt Lake, UT apartments are outfitted with a variety of features. Check out the amenities that will be available to you at Woods Crossing.",6,21,content/source/text/amenities.md,
https://www.woodscrossingslc.com/apply-now,fetched,"Apartments in North Salt Lake, UT | Apply Online for Woods Crossing",Apply Now,https://www.woodscrossingslc.com/apply-online,Apply now to Woods Crossing. Our North Salt Lake apartments provide you with everything that you need to be successful in your daily routine.,7,9,content/source/text/apply-now.md,
https://www.woodscrossingslc.com/apply-now/layout-a/6a,fetched,Apply now for our LAYOUT A apartment,Apply Now,,"Submit an application for our LAYOUT A apartment and start your life at Woods Crossing in North Salt Lake, UT",3,11,content/source/text/apply-now__layout-a__6a.md,
https://www.woodscrossingslc.com/apply-now/layout-a/7e,fetched,Apply now for our LAYOUT A apartment,Apply Now,,"Submit an application for our LAYOUT A apartment and start your life at Woods Crossing in North Salt Lake, UT",3,11,content/source/text/apply-now__layout-a__7e.md,
https://www.woodscrossingslc.com/apply-now/layout-b/1d,fetched,Apply now for our LAYOUT B apartment,Apply Now,,"Submit an application for our LAYOUT B apartment and start your life at Woods Crossing in North Salt Lake, UT",3,11,content/source/text/apply-now__layout-b__1d.md,
https://www.woodscrossingslc.com/apply-now/layout-b/8f,fetched,Apply now for our LAYOUT B apartment,Apply Now,,"Submit an application for our LAYOUT B apartment and start your life at Woods Crossing in North Salt Lake, UT",3,11,content/source/text/apply-now__layout-b__8f.md,
https://www.woodscrossingslc.com/apply-now/layout-c/1g,fetched,Apply now for our LAYOUT C apartment,Apply Now,,"Submit an application for our LAYOUT C apartment and start your life at Woods Crossing in North Salt Lake, UT",3,11,content/source/text/apply-now__layout-c__1g.md,
https://www.woodscrossingslc.com/apply-now/layout-d/1h,fetched,Apply now for our LAYOUT D apartment,Apply Now,,"Submit an application for our LAYOUT D apartment and start your life at Woods Crossing in North Salt Lake, UT",3,11,content/source/text/apply-now__layout-d__1h.md,
https://www.woodscrossingslc.com/apply-now/layout-d/8j,fetched,Apply now for our LAYOUT D apartment,Apply Now,,"Submit an application for our LAYOUT D apartment and start your life at Woods Crossing in North Salt Lake, UT",3,11,content/source/text/apply-now__layout-d__8j.md,
https://www.woodscrossingslc.com/neighborhood,fetched,"Apartments for Rent in North Salt Lake, UT | Neighborhood of Woods Crossing",Neighborhood,https://www.woodscrossingslc.com/north-salt-lake-ut/neighborhood,"Experience the best North Salt Lake, UT has to offer. Come home to Woods Crossing Apartments and come home to better living. Contact us today!",4,12,content/source/text/neighborhood.md,
https://www.woodscrossingslc.com/apartments/layout-a,fetched,Check out availability for our LAYOUT A apartment,LAYOUT A Floor Plan Pricing & Availability,,Check the availability for our LAYOUT A apartment and apply today!,3,11,content/source/text/apartments__layout-a.md,
https://www.woodscrossingslc.com/apartments/layout-b,fetched,Check out availability for our LAYOUT B apartment,LAYOUT B Floor Plan Pricing & Availability,,Check the availability for our LAYOUT B apartment and apply today!,3,11,content/source/text/apartments__layout-b.md,
https://www.woodscrossingslc.com/apartments/layout-c,fetched,Check out availability for our LAYOUT C apartment,LAYOUT C Floor Plan Pricing & Availability,,Check the availability for our LAYOUT C apartment and apply today!,3,11,content/source/text/apartments__layout-c.md,
https://www.woodscrossingslc.com/apartments/layout-d,fetched,Check out availability for our LAYOUT D apartment,LAYOUT D Floor Plan Pricing & Availability,,Check the availability for our LAYOUT D apartment and apply today!,3,11,content/source/text/apartments__layout-d.md,
https://www.woodscrossingslc.com/availability,fetched,"Apartments in North Salt Lake, UT | Apartment Search for Woods Crossing",Apartment Search,https://www.woodscrossingslc.com/apartment-search,"Search through the available apartments at Woods Crossing and find the perfect North Salt Lake, UT apartment for you, then apply online today!",4,9,content/source/text/availability.md,
