url,status,in_sitemap,indexable,notes
https://www.rentatexhibit.com/knowledge/party-room-reservation,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/grills-and-fire-pits,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/private-park,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/on-site-retail,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/does-exhibit-allow-dogs,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/does-exhibit-allow-cats,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/what-are-pet-fees,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/breed-and-weight-rules,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/pet-amenities,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/how-many-pets,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/how-much-does-parking-cost,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/is-there-ev-charging,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/is-there-guest-parking,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/is-there-bike-storage,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/cta-proximity,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/car-free-living,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/highway-access,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/walk-to-the-loop,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/how-do-i-apply,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/credit-score-required,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/co-signers-accepted,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/approval-time,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/lease-terms,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/occupancy-limits,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/documents-needed,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/renters-insurance-required,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/schedule-a-tour,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/virtual-tours,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/how-is-electricity-billed,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/what-utility-fee-covers,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/utility-fee-by-floor-plan,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/what-neighborhood,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/neighborhood-groceries,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/neighborhood-dog-parks,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/neighborhood-gyms,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/neighborhood-parks,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/whats-near-superior-and-wells,200,yes,yes,sitemap crawl
https://www.rentatexhibit.com/knowledge/neighborhood-dining,200,yes,yes,sitemap crawl
